name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
pike,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
starfish,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
stingray,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1
swan,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1
termite,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
toad,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0
vole,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
vulture,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
wolf,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
wren,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
